symbol, proccessed
ACON,idk
AMPG,negative net income
AUUD,idk
BEAT,idk
BKYI,negative net income
BLIN,negative net income
CCLD,negative net income
CETX,negative net income
CISO,negative net income
CYN,idk
DGLY,negative net income
DUOT,unaligned reports
ELYS,negative net income
EMKR,negative net income
EZFL,idk
GROM,negative net income
GVP,negative net income
HCTI,idk
IDAI,idk
IDN,negative net income
ISUN,negative net income
IVDA,unaligned reports
KBNT,idk
LFLY,negative net income
MGAM,idk
OIG,negative net income
ONDS,negative net income
PALT,negative net income
PRSO,negative net income
RFIL,negative net income
RGTI,idk
SBIG,idk
SNCE,idk
SOFO,negative net income
SOPA,idk
SUNW,negative net income
TMPO,idk
UTRS,idk
VRME,negative net income
WATT,negative net income
WISA,negative net income
